geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;notes;Lat;Lon
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4054372, 48.869343899724726]]}";n3679615742;NON;8;;public;NON;NON;arceaux;;48.8693438997;2.4054372
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2835908, 48.80874649973976]]}";n6384825302;NON;4;;public;NON;NON;arceaux;;48.8087464997;2.2835908
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3344303, 48.84245669973137]]}";n4840282530;NON;4;;public;NON;NON;arceaux;;48.8424566997;2.3344303
"{""type"": ""MultiPoint"", ""coordinates"": [[2.365371, 48.826982799735234]]}";n7513749207;NON;2;;public;NON;NON;arceaux;;48.8269827997;2.365371
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4159775, 48.801628699741514]]}";n6468154737;OUI;6;;public;NON;NON;arceaux;;48.8016286997;2.4159775
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3615509, 48.865412099725695]]}";n3223319267;NON;20;;public;NON;NON;arceaux;;48.8654120997;2.3615509
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2993705, 48.85033259972943]]}";n7599478980;NON;4;;public;NON;NON;arceaux;;48.8503325997;2.2993705
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2221767, 48.99153569969442]]}";n6362554957;NON;12;;public;NON;NON;arceaux;;48.9915356997;2.2221767
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3816397, 48.870291899724485]]}";n328989993;NON;20;;public;NON;NON;arceaux;;48.8702918997;2.3816397
"{""type"": ""MultiPoint"", ""coordinates"": [[2.5848546, 48.8742204997235]]}";n2811147844;NON;28;;public;NON;NON;inconnu;;48.8742204997;2.5848546
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4370503, 48.85781749972758]]}";n470109215;NON;0;;public;NON;NON;inconnu;;48.8578174997;2.4370503
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3797545, 48.85419599972847]]}";n2180504632;NON;8;;public;NON;NON;arceaux;;48.8541959997;2.3797545
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3687442, 48.86666069972538]]}";n1225293461;NON;22;;public;NON;NON;arceaux;;48.8666606997;2.3687442
"{""type"": ""MultiPoint"", ""coordinates"": [[2.28282, 48.73064309975912]]}";n2326395321;NON;2;Accroch' Vélo;public;NON;NON;arceaux;;48.7306430998;2.28282
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3037614, 48.607273999789676]]}";n6054464215;NON;10;;public;NON;NON;arceaux;;48.6072739998;2.3037614
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3073974, 48.845341099730675]]}";n5628185812;NON;6;;public;NON;NON;inconnu;;48.8453410997;2.3073974
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3940881, 48.84940839972967]]}";n5993980705;NON;16;;public;NON;NON;arceaux;;48.8494083997;2.3940881
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3482717, 48.86368419972612]]}";n7485844183;NON;12;;public;NON;NON;arceaux;;48.8636841997;2.3482717
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3838527, 48.85664859972787]]}";n5630777527;NON;8;;public;NON;NON;inconnu;;48.8566485997;2.3838527
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3514459, 48.82397219973598]]}";n2650141000;NON;6;;public;NON;NON;arceaux;;48.8239721997;2.3514459
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3847981, 48.84556139973061]]}";n5630714244;NON;12;;public;NON;NON;inconnu;;48.8455613997;2.3847981
"{""type"": ""MultiPoint"", ""coordinates"": [[2.443007, 48.86169699972662]]}";n6604451786;NON;6;;public;NON;NON;arceaux;;48.8616969997;2.443007
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3739688, 48.8811134997218]]}";n4542041166;NON;12;;public;NON;NON;arceaux;;48.8811134997;2.3739688
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2403952, 48.896950599717876]]}";n5204438353;NON;8;;public;NON;NON;arceaux;;48.8969505997;2.2403952
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3140428, 48.82536779973562]]}";n5691487816;NON;4;;public;NON;NON;arceaux;;48.8253677997;2.3140428
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3088139, 48.887515299720214]]}";n5620640031;NON;10;;public;NON;NON;inconnu;;48.8875152997;2.3088139
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3457071, 48.863133799726256]]}";n7235336762;NON;24;;public;NON;NON;arceaux;;48.8631337997;2.3457071
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3522816, 48.8653290997257]]}";n5679802973;NON;10;;public;NON;NON;arceaux;;48.8653290997;2.3522816
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3416334, 48.89580769971817]]}";n6140603707;NON;6;;public;NON;NON;arceaux;;48.8958076997;2.3416334
"{""type"": ""MultiPoint"", ""coordinates"": [[1.8978408, 48.719948199761745]]}";n3213448910;NON;14;;public;NON;NON;arceaux;;48.7199481998;1.8978408
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3477539, 48.82633089973539]]}";n3889022664;NON;6;;public;NON;NON;arceaux;;48.8263308997;2.3477539
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2609393, 48.907647499715225]]}";n3647795408;NON;8;;public;NON;NON;arceaux;;48.9076474997;2.2609393
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3509354, 48.88185759972161]]}";n5045328004;NON;14;;public;NON;NON;arceaux;;48.8818575997;2.3509354
